,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count
36,OperatingSystem,2022-07-12 12:57:57.523565,L-4.1: DEADLOCK concept | Example | Necessary condition | Operating System,rWFH6PLOIEI,2018-03-14T06:29:47Z,PT12M21S,787405,16223
37,OperatingSystem,2022-07-12 12:57:57.523569,L-1.7: System Calls in Operating system and its types in Hindi,tWPa-rZiGM8,2018-12-20T06:48:27Z,PT10M7S,638965,11047
38,OperatingSystem,2022-07-12 12:57:57.523572,"L4: Multiprocessing Operating System with Types, Advantages, Disadvantages | Types of OS",vWWu3ixtPRU,2022-03-31T14:02:20Z,PT4M42S,2541,38
39,OperatingSystem,2022-07-12 12:57:57.523575,Interrupts in operating system -IN Tamil,Z8AYjklbiB8,2021-12-07T04:47:59Z,PT13M8S,6896,184
40,OperatingSystem,2022-07-12 12:57:57.523579,"L-1.5: Process States in Operating System| Schedulers(Long term,Short term,Medium term)",2dJdHMpCLIg,2020-02-16T17:07:03Z,PT20M54S,687473,18118
41,OperatingSystem,2022-07-12 12:57:57.523582,Deadlock in Operating System | GeeksforGeeks,onkWXaXAgbY,2021-06-03T15:05:05Z,PT4M33S,34196,281
42,OperatingSystem,2022-07-12 12:57:57.523586,How To Fix - Lenovo Computer Error 1962 / No Operating System Found Error - No HDD,2-WDntT-5L8,2020-12-14T15:00:13Z,PT10M44S,63077,693
43,OperatingSystem,2022-07-12 12:57:57.523589,The operating system of life - George Zaidan and Charles Morton,JufLDxmCwB0,2013-11-11T16:06:53Z,PT4M1S,388289,6795
44,OperatingSystem,2022-07-12 12:57:57.523592,L-1.11: Process Vs Threads in Operating System,ITc09gOrqZk,2018-12-21T07:25:31Z,PT11M17S,667314,17986
45,OperatingSystem,2022-07-12 12:57:57.523596,Operating System Examples,JqmrEVJUyss,2015-02-23T19:09:20Z,PT2M37S,20994,132
46,OperatingSystem,2022-07-12 12:57:57.523600,CPU Scheduling in Operating System | Process Scheduling algorithms | Hindi | Easy Explanation,9pdVk1buyv0,2021-03-14T04:32:34Z,PT12M24S,46909,1080
47,OperatingSystem,2022-07-12 12:57:57.523604,Using Python to Interact with the Operating System Week 1| coursera,pDPY9m9r2LM,2020-07-06T00:23:54Z,PT24M50S,17109,212
48,OperatingSystem,2022-07-12 12:57:57.523608,How To Fix A HP With An Operating System Not Found Problem,eaHpU4CQj2g,2020-05-16T16:10:14Z,PT3M12S,22448,170
49,OperatingSystem,2022-07-12 12:57:57.523611,What is a Thread | Concept of Process and Thread | Operating System,RDr7xCunN80,2020-03-26T13:39:43Z,PT9M18S,8563,187
50,Microbiology,2022-07-12 12:58:00.563124,L-5.2: Memory management  Techniques | Contiguous and non-Contiguous | Operating System,FrTttJLN7Kw,2018-03-22T04:45:21Z,PT11M46S,450535,10818
51,Microbiology,2022-07-12 12:58:00.563135,How to Disable Choose an operating system at start up on windows 10 &amp; 11,9PM8x_p5lFg,2019-11-05T14:51:56Z,PT1M45S,191421,2966
52,Microbiology,2022-07-12 12:58:00.563137,Portable OS on a Flash Drive! - Bootable Android Operating System,WewmXdrugYg,2017-06-18T20:16:47Z,PT3M42S,314306,3497
53,Microbiology,2022-07-12 12:58:00.563139,How To Fix A Dell With An Operating System Not found Or Operating System Missing Problem,FMmXEcZ0Wx4,2019-12-21T01:01:32Z,PT4M22S,23413,202
54,Microbiology,2022-07-12 12:58:00.563140,My Notion Life Operating System Overview,4-TYSah25UM,2020-03-11T17:19:09Z,PT33M35S,262784,6822
55,Microbiology,2022-07-12 12:58:00.563142,L-5.22: Page Replacement Introduction | FIFO Page Replacement algorithm | Operating System,8rcUs5RutX0,2018-04-13T08:24:46Z,PT16M7S,582778,12270
56,Microbiology,2022-07-12 12:58:00.563143,"L-3.8: Semaphores | Wait, Signal Operation | Counting Semaphore | Example| Operating system",eoGkJWgxurQ,2018-02-28T09:25:35Z,PT24M42S,587247,14276
57,Microbiology,2022-07-12 12:58:00.563145,Warzone - Windows 7 operating system not supported (2022 FIXED 100%),r_KxmGqbvAs,2022-02-21T18:05:47Z,PT10M59S,4417,107
58,Microbiology,2022-07-12 12:58:00.563147,"Introduction to Linux Operating System, Distributions, Architecture, Advantages &amp; Disadvantages",_NyiRPuKn6o,2020-10-03T09:15:12Z,PT18M47S,10599,225
59,Microbiology,2022-07-12 12:58:00.563149,Boot Device Not Found | please install an operating system on your hard disk | Hard Disk 3FO | HP,PkgrKQPkLos,2020-03-01T05:16:05Z,PT4M23S,678650,8625
60,Microbiology,2022-07-12 12:58:00.563150,How to Check Full Operating System Information in Windows PC,apIzsvG8NxU,2016-11-24T10:21:54Z,PT1M48S,107468,723
61,Microbiology,2022-07-12 12:58:00.563152,Write Your Own 64-bit Operating System Kernel #1 - Boot code and multiboot header,FkrpUaGThTQ,2020-09-20T17:17:33Z,PT15M46S,489041,18103
62,Microbiology,2022-07-12 12:58:00.563153,How To Fixed Computer Error Loading Operating System Problem In Windows 7 Or Windows 10,lwQebY90LK0,2021-08-25T12:10:48Z,PT3M36S,31891,329
63,Microbiology,2022-07-12 12:58:00.563155,[solved] OPERATING SYSTEM NOT FOUND (USB3),pqmKPZcCtyI,2019-10-22T08:30:01Z,PT2M33S,57440,665
64,Microbiology,2022-07-12 12:58:00.563156,"Boot Device Not Found, Hard Disk - (3F0) | Please install an operating system on your hard disk, HP",9W3FqaJGtPU,2020-12-09T11:32:43Z,PT5M10S,290203,3463
65,Microbiology,2022-07-12 12:58:00.563158,"Types of Operating System | Batch, Real-time, Distributed, Network, Time-sharing Operating System",Ij71sDmmKpc,2021-03-16T03:56:18Z,PT18M19S,533892,14312
66,Microbiology,2022-07-12 12:58:00.563159,1.3 #BatchOperatingSystem #BatchProcessing Operating System in Hindi,VtqPyXDaMr4,2018-04-18T05:52:37Z,PT17M14S,380696,6090
67,Microbiology,2022-07-12 12:58:00.563161,L-1.12: User Level Vs Kernel Level Thread in Operating System | All Imp Points,-NONm-Jq34Y,2018-12-28T06:30:01Z,PT8M29S,368828,8337
68,Microbiology,2022-07-12 12:58:00.563162,Functions of Operating System,wFdmyMqz-gI,2018-01-17T13:03:47Z,PT2M27S,63633,630
69,Microbiology,2022-07-12 12:58:00.563164,Operating System Virtualization,KJzgJk1rdSs,2018-09-11T06:32:46Z,PT2M15S,17241,165
70,Microbiology,2022-07-12 12:58:00.563165,Computer Operating System | For All Competitive exams | By Nitin Sir |,eBW5Of89TMc,2019-11-12T16:48:06Z,PT44M35S,405097,12988
71,Microbiology,2022-07-12 12:58:00.563167,Interrupts in Operating System | Explained in Detail #os #process #data #interrupt #trap #system,K8p9KxuzZ-U,2021-09-23T07:53:21Z,PT4M49S,3174,63
72,Microbiology,2022-07-12 12:58:00.563170,Distributed Operating System | Goals | Features,NYBKXzl5bWU,2020-08-24T11:41:50Z,PT6M16S,32658,638
73,Microbiology,2022-07-12 12:58:00.563172,"Operating system operations || user mode, kernel mode|| operating system in telugu",wvypiV25KHY,2021-06-04T04:30:06Z,PT19M12S,10393,515
74,Microbiology,2022-07-12 12:58:00.563173,Boot Device Not Found || Please Install an  Operating system on your hard disk|| Hard Disk (3F0) Fix,4m_xa3HUEiw,2020-09-06T19:02:32Z,PT3M25S,285852,5973
75,Microbiology,2022-07-12 12:58:00.563175,L-1.10: User mode and Kernel mode in operating system in hindi,8duV1LLHHJU,2018-12-19T05:56:46Z,PT6M46S,465906,13633
76,Microbiology,2022-07-12 12:58:00.563176,An Operating System Wasn’t Found Try Disconnecting Any Drives That Don’t Contain An Operating System,anVSWO0GfEY,2020-09-21T03:37:26Z,PT3M31S,238750,2103
77,Microbiology,2022-07-12 12:58:00.563178,Top 30 Operating System Interview Questions - Session 1,T4R6J_WHQLw,2018-01-13T02:57:24Z,PT7M50S,48490,808
78,Microbiology,2022-07-12 12:58:00.563179,Terence McKenna- Culture is your operating system,O4ZCBrqTNrY,2007-08-29T00:27:14Z,PT8M38S,70315,1061
79,Microbiology,2022-07-12 12:58:00.563181,L-5.17: Segmentation Vs Paging | Segmentation Working | Operating system,dz9Tk6KCMlQ,2018-04-05T13:26:04Z,PT16M30S,598545,12950
80,Microbiology,2022-07-12 12:58:00.563182,"How to install Custom Operating System on Android Phone [Easy Way], Firmware",jbzaybQPFsE,2021-06-17T11:13:38Z,PT6M20S,8196,47
81,Microbiology,2022-07-12 12:58:00.563184,System calls and types of system calls in operating systems || operating system in telugu,i--pr8hUiTM,2021-06-17T05:10:01Z,PT14M18S,17182,449
82,Microbiology,2022-07-12 12:58:00.563185,L-5.16: What is Thrashing | Operating System,IyWaK8pbN6A,2018-05-12T06:47:21Z,PT8M34S,384735,9476
83,Microbiology,2022-07-12 12:58:00.563186,How to Remove an operating system from Boot Manager at Start up windows Laptop - PC,QZT9KHIdafs,2019-11-05T14:52:31Z,PT2M3S,79797,991
84,Microbiology,2022-07-12 12:58:00.563188,CPU Scheduling in Operating System | Process Scheduling algorithms | Hindi | Easy Explanation,9pdVk1buyv0,2021-03-14T04:32:34Z,PT12M24S,46909,1080
85,Microbiology,2022-07-12 12:58:00.563189,"HP Laptop, Operating System Boot Mode Change (021), + Enter   to complate the change",xSfsHQGDfjU,2020-10-31T21:14:46Z,PT4M52S,51500,269
86,Microbiology,2022-07-12 12:58:00.563191,This is the operating system Edward Snowden recommends,s8-B9d7iz1A,2020-09-06T16:59:15Z,PT4M45S,1641945,39863
87,Microbiology,2022-07-12 12:58:00.563192,Operating System Marathon | Vishvadeep Gothi,uBv2N6DvKfM,2022-01-28T14:53:38Z,PT4H23M44S,31957,1644
88,Microbiology,2022-07-12 12:58:00.563196,"How to Fix an Operating System wasn&#39;t found, BCD Repair Windows 10 (Complete Tutorial)",ie6oWNdxsUg,2018-07-09T13:09:24Z,PT10M11S,269623,2841
89,Microbiology,2022-07-12 12:58:00.563197,Operating System Interview Questions | FAANG Interview Preparation | Wipro Interview for BCA Fresher,nPHxVIEVHqc,2021-01-03T12:59:04Z,PT21M32S,30757,1221
90,Microbiology,2022-07-12 12:58:00.563199,Operating System Generation and System Boot,wD0PrF3fGSY,2018-06-28T09:45:00Z,PT12M11S,95306,1532
91,Microbiology,2022-07-12 12:58:00.563200,User Operating System Interface,psDpbWscPuE,2018-03-12T11:57:59Z,PT13M34S,150762,2284
92,Microbiology,2022-07-12 12:58:00.563202,L-4.5: Deadlock Avoidance Banker&#39;s Algorithm with Example |With English Subtitles,7gMLNiEz3nw,2018-03-12T06:35:55Z,PT24M4S,1010534,27276
93,Microbiology,2022-07-12 12:58:00.563203,Interrupts in operating system -IN Tamil,Z8AYjklbiB8,2021-12-07T04:47:59Z,PT13M8S,6896,184
94,Microbiology,2022-07-12 12:58:00.563204,Multiprocessing Operating System | Advantages and Disadvantages | Types of Operating System,NdTnVA6Eq9s,2021-02-17T05:11:07Z,PT8M21S,37145,927
95,Microbiology,2022-07-12 12:58:00.563206,L-5.19: Virtual Memory | Page fault | Significance of virtual memory | Operating System,o2_iCzS9-ZQ,2018-04-11T09:14:55Z,PT20M18S,643072,16104
